"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 18, 2025","105,220.0","104,780.0","105,740.0","103,967.5","2.35K","0.42%"
"Jun 17, 2025","104,780.0","108,930.0","109,305.0","103,520.0","0.19K","-3.80%"
"Jun 16, 2025","108,920.0","105,080.0","109,250.0","105,060.0","7.85K","2.87%"
"Jun 15, 2025","105,885.0","105,050.0","105,932.5","105,035.0","0.19K","0.48%"
"Jun 13, 2025","105,380.0","106,310.0","106,630.0","103,010.0","11.30K","-1.60%"
"Jun 12, 2025","107,095.0","108,785.0","109,240.0","106,130.0","8.88K","-1.89%"
"Jun 11, 2025","109,160.0","110,225.0","110,855.0","108,765.0","6.72K","-0.75%"
"Jun 10, 2025","109,980.0","110,375.0","110,890.0","108,720.0","7.10K","0.78%"
"Jun 09, 2025","109,125.0","106,550.0","109,340.0","105,735.0","7.42K","4.16%"
"Jun 06, 2025","104,770.0","101,865.0","105,945.0","101,390.0","10.12K","2.50%"
"Jun 05, 2025","102,215.0","105,340.0","106,555.0","100,815.0","12.06K","-3.10%"
"Jun 04, 2025","105,485.0","105,920.0","106,520.0","104,595.0","7.29K","-1.28%"
"Jun 03, 2025","106,850.0","105,600.0","107,495.0","105,390.0","7.56K","1.76%"
"Jun 02, 2025","105,005.0","105,835.0","106,540.0","104,100.0","6.54K","-0.12%"
"May 30, 2025","105,130.0","107,090.0","107,090.0","104,225.0","8.27K","-0.49%"
"May 29, 2025","105,645.0","107,470.0","109,030.0","105,565.0","9.53K","-1.27%"
"May 28, 2025","107,005.0","109,185.0","109,425.0","106,770.0","9.04K","-2.74%"
"May 27, 2025","110,025.0","107,540.0","110,980.0","107,495.0","16.54K","-0.33%"
"May 26, 2025","110,385.0","108,360.0","111,300.0","109,715.0","1.59K","0.57%"
"May 25, 2025","109,760.0","108,442.5","110,197.5","108,235.0","4.88K","0.12%"
"May 23, 2025","109,625.0","111,950.0","112,825.0","108,320.0","6.35K","-2.28%"
"May 22, 2025","112,185.0","109,530.0","113,055.0","109,520.0","7.88K","2.28%"
"May 21, 2025","109,680.0","107,605.0","110,745.0","107,020.0","5.41K","1.52%"
"May 20, 2025","108,035.0","106,535.0","108,325.0","105,130.0","3.76K","1.40%"
"May 19, 2025","106,545.0","105,320.0","108,200.0","103,000.0","4.08K","2.03%"
"May 16, 2025","104,425.0","103,660.0","104,990.0","103,525.0","5.05K","0.89%"
"May 15, 2025","103,500.0","103,945.0","104,590.0","101,705.0","7.00K","-0.12%"
"May 14, 2025","103,620.0","104,870.0","104,955.0","102,930.0","6.06K","-1.56%"
"May 13, 2025","105,265.0","102,865.0","105,480.0","101,820.0","6.16K","3.08%"
"May 12, 2025","102,115.0","104,685.0","106,270.0","101,060.0","10.22K","-1.47%"
"May 09, 2025","103,635.0","103,110.0","104,825.0","102,785.0","7.12K","1.82%"
"May 08, 2025","101,780.0","97,720.0","103,300.0","97,350.0","10.30K","5.30%"
"May 07, 2025","96,655.0","95,080.0","98,200.0","95,070.0","8.98K","1.30%"
"May 06, 2025","95,410.0","95,155.0","95,640.0","93,685.0","5.21K","0.72%"
"May 05, 2025","94,730.0","96,455.0","96,455.0","93,945.0","7.43K","-2.85%"
"May 02, 2025","97,505.0","97,245.0","98,615.0","96,885.0","6.98K","0.31%"
"May 01, 2025","97,205.0","94,980.0","98,305.0","94,635.0","9.12K","2.65%"
"Apr 30, 2025","94,695.0","95,410.0","96,040.0","93,445.0","8.41K","-1.34%"
"Apr 29, 2025","95,980.0","95,220.0","96,275.0","94,910.0","5.13K","0.50%"
"Apr 28, 2025","95,505.0","95,280.0","96,470.0","93,550.0","7.25K","-0.72%"
"Apr 25, 2025","96,200.0","94,300.0","96,780.0","93,735.0","7.97K","2.75%"
"Apr 24, 2025","93,625.0","93,645.0","93,950.0","91,785.0","6.92K","0.02%"
"Apr 23, 2025","93,605.0","93,010.0","94,745.0","92,005.0","12.54K","2.12%"
"Apr 22, 2025","91,660.0","87,450.0","91,970.0","87,070.0","16.18K","4.71%"
"Apr 21, 2025","87,535.0","85,235.0","88,785.0","84,790.0","17.37K","2.85%"
"Apr 17, 2025","85,110.0","84,680.0","85,700.0","83,905.0","8.47K","0.68%"
"Apr 16, 2025","84,535.0","84,435.0","85,745.0","83,190.0","8.53K","0.45%"
"Apr 15, 2025","84,160.0","85,005.0","86,755.0","83,970.0","6.20K","-1.18%"
"Apr 14, 2025","85,165.0","83,765.0","86,045.0","83,205.0","7.59K","1.27%"
