Symbol,PN,Type,Date,Volatility
BTC,N/A,QMLE-Trade,2017-12-18,1.02611
BTC,N/A,QMLE-Trade,2017-12-19,1.09387
BTC,N/A,QMLE-Trade,2017-12-20,1.77054
BTC,N/A,QMLE-Trade,2017-12-21,1.33055
BTC,N/A,QMLE-Trade,2017-12-22,3
BTC,N/A,QMLE-Trade,2017-12-26,1.52539
BTC,N/A,QMLE-Trade,2017-12-27,1.24218
BTC,N/A,QMLE-Trade,2017-12-28,1.75846
BTC,N/A,QMLE-Trade,2017-12-29,1.0092
BTC,N/A,QMLE-Trade,2018-1-2,1.42819
BTC,N/A,QMLE-Trade,2018-1-3,0.736985
BTC,N/A,QMLE-Trade,2018-1-4,0.813583
BTC,N/A,QMLE-Trade,2018-1-5,0.840741
BTC,N/A,QMLE-Trade,2018-1-8,1.25407
BTC,N/A,QMLE-Trade,2018-1-9,0.870409
BTC,N/A,QMLE-Trade,2018-1-10,1.07846
BTC,N/A,QMLE-Trade,2018-1-11,1.58667
BTC,N/A,QMLE-Trade,2018-1-12,0.94831
BTC,N/A,QMLE-Trade,2018-1-16,2.15625
BTC,N/A,QMLE-Trade,2018-1-17,2.88367
BTC,N/A,QMLE-Trade,2018-1-18,1.76549
BTC,N/A,QMLE-Trade,2018-1-19,1.3688
BTC,N/A,QMLE-Trade,2018-1-22,1.2798
BTC,N/A,QMLE-Trade,2018-1-23,1.57519
BTC,N/A,QMLE-Trade,2018-1-24,1.24525
BTC,N/A,QMLE-Trade,2018-1-25,0.934371
BTC,N/A,QMLE-Trade,2018-1-26,1.15371
BTC,N/A,QMLE-Trade,2018-1-29,0.667324
BTC,N/A,QMLE-Trade,2018-1-30,1.17667
BTC,N/A,QMLE-Trade,2018-1-31,1.17889
BTC,N/A,QMLE-Trade,2018-2-1,1.36884
BTC,N/A,QMLE-Trade,2018-2-2,2.09669
BTC,N/A,QMLE-Trade,2018-2-5,2.12812
BTC,N/A,QMLE-Trade,2018-2-6,3
BTC,N/A,QMLE-Trade,2018-2-7,1.8106
BTC,N/A,QMLE-Trade,2018-2-8,1.54552
BTC,N/A,QMLE-Trade,2018-2-9,1.3806
BTC,N/A,QMLE-Trade,2018-2-12,0.921271
BTC,N/A,QMLE-Trade,2018-2-13,0.711688
BTC,N/A,QMLE-Trade,2018-2-14,0.718291
BTC,N/A,QMLE-Trade,2018-2-15,0.889997
BTC,N/A,QMLE-Trade,2018-2-16,0.73916
BTC,N/A,QMLE-Trade,2018-2-20,0.622745
BTC,N/A,QMLE-Trade,2018-2-21,1.06365
