Symbol,PN,Type,Date,Volatility
GC,N/A,QMLE-Trade,1996-1-3,0.164226
GC,N/A,QMLE-Trade,1996-1-4,0.0115802
GC,N/A,QMLE-Trade,1996-1-5,0.091937
GC,N/A,QMLE-Trade,1996-1-9,0.0319075
GC,N/A,QMLE-Trade,1996-1-10,0.130857
GC,N/A,QMLE-Trade,1996-1-11,0.0850618
GC,N/A,QMLE-Trade,1996-1-12,0.0995894
GC,N/A,QMLE-Trade,1996-1-15,0.165817
GC,N/A,QMLE-Trade,1996-1-16,0.0638324
GC,N/A,QMLE-Trade,1996-1-17,0.0295148
GC,N/A,QMLE-Trade,1996-1-18,0.109671
GC,N/A,QMLE-Trade,1996-1-19,0.0203626
GC,N/A,QMLE-Trade,1996-1-22,0.0957201
GC,N/A,QMLE-Trade,1996-1-23,0.0000303152
GC,N/A,QMLE-Trade,1996-1-24,0.0292221
GC,N/A,QMLE-Trade,1996-1-25,0.112701
GC,N/A,QMLE-Trade,1996-1-26,0.0946199
GC,N/A,QMLE-Trade,1996-1-29,0.0628076
GC,N/A,QMLE-Trade,1996-1-30,0.175583
GC,N/A,QMLE-Trade,1996-1-31,0.186702
GC,N/A,QMLE-Trade,1996-2-1,0.244989
GC,N/A,QMLE-Trade,1996-2-2,0.158732
GC,N/A,QMLE-Trade,1996-2-5,0.0923196
GC,N/A,QMLE-Trade,1996-2-6,0.0496269
GC,N/A,QMLE-Trade,1996-2-7,0.460127
GC,N/A,QMLE-Trade,1996-2-8,0.108159
GC,N/A,QMLE-Trade,1996-2-9,0.0474343
GC,N/A,QMLE-Trade,1996-2-12,0.157407
GC,N/A,QMLE-Trade,1996-2-13,0.0877092
GC,N/A,QMLE-Trade,1996-2-14,0.0698262
GC,N/A,QMLE-Trade,1996-2-15,0.000288115
GC,N/A,QMLE-Trade,1996-2-16,0.113502
GC,N/A,QMLE-Trade,1996-2-20,0.276662
GC,N/A,QMLE-Trade,1996-2-21,0.203733
GC,N/A,QMLE-Trade,1996-2-22,0.0623342
GC,N/A,QMLE-Trade,1996-2-23,0.0409963
GC,N/A,QMLE-Trade,1996-2-26,0.0498737
GC,N/A,QMLE-Trade,1996-2-27,0.0259312
GC,N/A,QMLE-Trade,1996-2-28,0.000808352
GC,N/A,QMLE-Trade,1996-2-29,0.00640862
GC,N/A,QMLE-Trade,1996-3-1,0.0290274
GC,N/A,QMLE-Trade,1996-3-4,0.197913
GC,N/A,QMLE-Trade,1996-3-5,0.0744854
GC,N/A,QMLE-Trade,1996-3-6,0.0232443
GC,N/A,QMLE-Trade,1996-3-7,0.224866
GC,N/A,QMLE-Trade,1996-3-8,0.0258601
GC,N/A,QMLE-Trade,1996-3-11,0.0605017
GC,N/A,QMLE-Trade,1996-3-12,0.0139529
GC,N/A,QMLE-Trade,1996-3-13,0.0392714
GC,N/A,QMLE-Trade,1996-3-14,0.0350221
GC,N/A,QMLE-Trade,1996-3-15,0.00391309
GC,N/A,QMLE-Trade,1996-3-18,0.0346756
GC,N/A,QMLE-Trade,1996-3-19,0.0184606
GC,N/A,QMLE-Trade,1996-3-21,0.0203669
GC,N/A,QMLE-Trade,1996-3-22,0.0369005
GC,N/A,QMLE-Trade,1996-3-25,0.0467496
GC,N/A,QMLE-Trade,1996-3-26,0.0432341
GC,N/A,QMLE-Trade,1996-3-27,0.0312805
GC,N/A,QMLE-Trade,1996-3-28,0.0896764
GC,N/A,QMLE-Trade,1996-3-29,0.0122969
GC,N/A,QMLE-Trade,1996-4-1,0.0449436
GC,N/A,QMLE-Trade,1996-4-3,0.0107163
GC,N/A,QMLE-Trade,1996-4-11,0.000517705
GC,N/A,QMLE-Trade,1996-4-12,0.0123265
GC,N/A,QMLE-Trade,1996-4-15,0.0533938
GC,N/A,QMLE-Trade,1996-4-16,0.0533409
GC,N/A,QMLE-Trade,1996-4-17,0.0135459
GC,N/A,QMLE-Trade,1996-4-18,0.00351681
GC,N/A,QMLE-Trade,1996-4-19,0.0409818
GC,N/A,QMLE-Trade,1996-4-22,0.0666425
GC,N/A,QMLE-Trade,1996-4-23,0.00131023
GC,N/A,QMLE-Trade,1996-4-24,0.029607
GC,N/A,QMLE-Trade,1996-4-25,0.0709935
GC,N/A,QMLE-Trade,1996-4-26,0.00004094
GC,N/A,QMLE-Trade,1996-4-29,0.00687066
GC,N/A,QMLE-Trade,1996-4-30,0.0729137
GC,N/A,QMLE-Trade,1996-5-1,0.112119
GC,N/A,QMLE-Trade,1996-5-2,0.0503013
GC,N/A,QMLE-Trade,1996-5-3,0.0207933
GC,N/A,QMLE-Trade,1996-5-7,0.000337291
GC,N/A,QMLE-Trade,1996-5-9,0.0619733
GC,N/A,QMLE-Trade,1996-5-10,0.0186589
GC,N/A,QMLE-Trade,1996-5-13,0.0249136
GC,N/A,QMLE-Trade,1996-5-16,0.00354485
