Symbol,PN,Type,Date,Volatility
DX,N/A,QMLE-Trade,2008-9-22,0.165809
DX,N/A,QMLE-Trade,2008-9-23,0.171634
DX,N/A,QMLE-Trade,2008-9-24,0.0899533
DX,N/A,QMLE-Trade,2008-9-25,0.152711
DX,N/A,QMLE-Trade,2008-9-26,0.113196
DX,N/A,QMLE-Trade,2008-9-29,0.206823
DX,N/A,QMLE-Trade,2008-9-30,0.159344
DX,N/A,QMLE-Trade,2008-10-1,0.149776
DX,N/A,QMLE-Trade,2008-10-2,0.140989
DX,N/A,QMLE-Trade,2008-10-3,0.170291
DX,N/A,QMLE-Trade,2008-10-6,0.14068
DX,N/A,QMLE-Trade,2008-10-7,0.191583
DX,N/A,QMLE-Trade,2008-10-8,0.179661
DX,N/A,QMLE-Trade,2008-10-9,0.151212
DX,N/A,QMLE-Trade,2008-10-10,0.178346
DX,N/A,QMLE-Trade,2008-10-13,0.197132
DX,N/A,QMLE-Trade,2008-10-14,0.140872
DX,N/A,QMLE-Trade,2008-10-15,0.1193
DX,N/A,QMLE-Trade,2008-10-16,0.174756
DX,N/A,QMLE-Trade,2008-10-17,0.116131
DX,N/A,QMLE-Trade,2008-10-20,0.24466
DX,N/A,QMLE-Trade,2008-10-21,0.132998
DX,N/A,QMLE-Trade,2008-10-22,0.203941
DX,N/A,QMLE-Trade,2008-10-23,0.167911
DX,N/A,QMLE-Trade,2008-10-24,0.25328
DX,N/A,QMLE-Trade,2008-10-27,0.207518
DX,N/A,QMLE-Trade,2008-10-28,0.190017
DX,N/A,QMLE-Trade,2008-10-29,0.23534
DX,N/A,QMLE-Trade,2008-10-30,0.28628
DX,N/A,QMLE-Trade,2008-10-31,0.19256
DX,N/A,QMLE-Trade,2008-11-3,0.138161
DX,N/A,QMLE-Trade,2008-11-4,0.17919
DX,N/A,QMLE-Trade,2008-11-5,0.232336
DX,N/A,QMLE-Trade,2008-11-6,0.185541
DX,N/A,QMLE-Trade,2008-11-7,0.183977
DX,N/A,QMLE-Trade,2008-11-10,0.124751
DX,N/A,QMLE-Trade,2008-11-11,0.149114
DX,N/A,QMLE-Trade,2008-11-12,0.165223
DX,N/A,QMLE-Trade,2008-11-13,0.227389
DX,N/A,QMLE-Trade,2008-11-14,0.145298
DX,N/A,QMLE-Trade,2008-11-17,0.126235
DX,N/A,QMLE-Trade,2008-11-18,0.110184
DX,N/A,QMLE-Trade,2008-11-19,0.162852
DX,N/A,QMLE-Trade,2008-11-20,0.109725
DX,N/A,QMLE-Trade,2008-11-21,0.182518
DX,N/A,QMLE-Trade,2008-11-24,0.18744
DX,N/A,QMLE-Trade,2008-11-25,0.191971
DX,N/A,QMLE-Trade,2008-11-26,0.153934
DX,N/A,QMLE-Trade,2008-11-27,0.0751722
DX,N/A,QMLE-Trade,2008-11-28,0.154646
DX,N/A,QMLE-Trade,2008-12-1,0.045313
DX,N/A,QMLE-Trade,2008-12-2,0.136768
DX,N/A,QMLE-Trade,2008-12-3,0.119745
DX,N/A,QMLE-Trade,2008-12-4,0.14478
DX,N/A,QMLE-Trade,2008-12-5,0.142485
DX,N/A,QMLE-Trade,2008-12-8,0.124839
DX,N/A,QMLE-Trade,2008-12-9,0.132708
DX,N/A,QMLE-Trade,2008-12-10,0.126674
DX,N/A,QMLE-Trade,2008-12-11,0.167801
DX,N/A,QMLE-Trade,2008-12-12,0.197296
DX,N/A,QMLE-Trade,2008-12-15,0.116409
DX,N/A,QMLE-Trade,2008-12-16,0.202428
