Symbol,PN,Type,Date,Volatility
CL,N/A,QMLE-Trade,2001-1-2,0.126942
CL,N/A,QMLE-Trade,2001-1-3,0.475444
CL,N/A,QMLE-Trade,2001-1-4,0.217497
CL,N/A,QMLE-Trade,2001-1-5,0.409456
CL,N/A,QMLE-Trade,2001-1-8,0.200556
CL,N/A,QMLE-Trade,2001-1-9,0.234784
CL,N/A,QMLE-Trade,2001-1-10,0.956495
CL,N/A,QMLE-Trade,2001-1-11,0.116689
CL,N/A,QMLE-Trade,2001-1-12,0.00141694
CL,N/A,QMLE-Trade,2001-1-16,0.189059
CL,N/A,QMLE-Trade,2001-1-17,0.247837
CL,N/A,QMLE-Trade,2001-1-18,0.519277
CL,N/A,QMLE-Trade,2001-1-19,0.488164
CL,N/A,QMLE-Trade,2001-1-22,0.210086
CL,N/A,QMLE-Trade,2001-1-23,0.119335
CL,N/A,QMLE-Trade,2001-1-24,0.144656
CL,N/A,QMLE-Trade,2001-1-25,0.285356
CL,N/A,QMLE-Trade,2001-1-26,0.169881
CL,N/A,QMLE-Trade,2001-1-29,0.513439
CL,N/A,QMLE-Trade,2001-1-30,0.116993
CL,N/A,QMLE-Trade,2001-1-31,0.247452
CL,N/A,QMLE-Trade,2001-2-1,0.606741
CL,N/A,QMLE-Trade,2001-2-2,0.145691
CL,N/A,QMLE-Trade,2001-2-5,0.335897
CL,N/A,QMLE-Trade,2001-2-6,0.165524
CL,N/A,QMLE-Trade,2001-2-7,0.479819
CL,N/A,QMLE-Trade,2001-2-8,0.185668
CL,N/A,QMLE-Trade,2001-2-9,0.153821
CL,N/A,QMLE-Trade,2001-2-12,0.200906
CL,N/A,QMLE-Trade,2001-2-13,0.124085
CL,N/A,QMLE-Trade,2001-2-14,0.277729
CL,N/A,QMLE-Trade,2001-2-15,0.32322
CL,N/A,QMLE-Trade,2001-2-16,0.157223
CL,N/A,QMLE-Trade,2001-2-20,0.396894
CL,N/A,QMLE-Trade,2001-2-21,0.272653
CL,N/A,QMLE-Trade,2001-2-22,0.066229
CL,N/A,QMLE-Trade,2001-2-23,0.121274
CL,N/A,QMLE-Trade,2001-2-26,0.118924
CL,N/A,QMLE-Trade,2001-2-27,0.131037
CL,N/A,QMLE-Trade,2001-2-28,0.483224
CL,N/A,QMLE-Trade,2001-3-1,0.16762
CL,N/A,QMLE-Trade,2001-3-2,0.038206
CL,N/A,QMLE-Trade,2001-3-5,0.230883
CL,N/A,QMLE-Trade,2001-3-6,0.180865
CL,N/A,QMLE-Trade,2001-3-7,0.218491
CL,N/A,QMLE-Trade,2001-3-9,0.00199009
