"Date","Price","Open","High","Low","Vol.","Change %"
"06/18/2025","114.13","113.59","114.16","113.31","142.00K","0.48%"
"06/17/2025","113.59","113.59","113.81","112.66","3.04K","0.83%"
"06/16/2025","112.66","113.63","113.63","112.56","380.42K","-0.50%"
"06/15/2025","113.22","113.22","113.56","113.09","9.72K","-0.03%"
"06/13/2025","113.25","114.22","114.94","112.88","442.03K","-0.93%"
"06/12/2025","114.31","113.13","114.41","113.09","440.38K","0.91%"
"06/11/2025","113.28","112.56","113.41","111.94","371.86K","0.64%"
"06/10/2025","112.56","112.50","113.06","112.31","240.91K","0.19%"
"06/09/2025","112.34","112.03","112.53","111.78","254.08K","0.20%"
"06/06/2025","112.13","113.44","113.72","112.00","379.26K","-1.16%"
"06/05/2025","113.44","113.59","114.31","113.25","","-0.55%"
"06/04/2025","114.06","112.66","114.28","112.53","4.99K","1.28%"
"06/03/2025","112.63","112.69","113.22","112.44","16.41K","0.22%"
"06/02/2025","112.38","113.38","113.41","112.31","8.02K","-0.72%"
"05/30/2025","113.19","113.16","113.56","112.88","17.61K","0.00%"
"05/29/2025","113.19","112.31","113.31","111.56","81.16K","0.75%"
"05/28/2025","112.34","112.72","112.94","111.97","406.28K","-0.50%"
"05/27/2025","112.91","111.59","113.00","110.94","1.22M","1.03%"
"05/26/2025","111.75","111.75","111.91","110.94","75.42K","0.08%"
"05/23/2025","111.66","111.44","112.50","111.25","943.90K","0.42%"
"05/22/2025","111.19","110.75","111.50","110.03","1.20M","0.37%"
"05/21/2025","110.78","112.47","112.72","110.75","936.63K","-1.58%"
"05/20/2025","112.56","113.22","113.53","112.03","525.34K","-0.19%"
"05/19/2025","112.78","112.56","113.28","111.47","599.84K","-0.52%"
"05/16/2025","113.38","113.44","114.03","112.53","339.78K","0.28%"
"05/15/2025","113.06","112.31","113.53","111.91","443.18K","0.61%"
"05/14/2025","112.38","113.16","113.34","112.19","398.55K","-0.28%"
"05/13/2025","112.69","113.31","113.72","112.59","438.47K","-0.72%"
"05/12/2025","113.50","114.06","114.16","113.22","461.86K","-0.74%"
"05/09/2025","114.34","114.16","114.59","113.78","283.07K","-0.05%"
"05/08/2025","114.41","115.38","115.47","114.06","408.61K","-0.84%"
"05/07/2025","115.38","115.00","115.59","114.56","304.86K","0.54%"
"05/06/2025","114.75","114.44","114.97","113.97","363.64K","0.22%"
"05/05/2025","114.50","115.03","115.34","114.13","300.71K","-0.35%"
"05/02/2025","114.91","116.03","116.44","114.75","386.19K","-0.84%"
"05/01/2025","115.88","116.56","117.22","115.75","353.63K","-0.64%"
"04/30/2025","116.63","116.97","117.66","116.06","662.44K","-0.37%"
"04/29/2025","117.06","116.41","117.19","115.94","292.12K","0.59%"
"04/28/2025","116.38","116.09","116.53","115.44","323.50K","0.49%"
"04/25/2025","115.81","115.03","116.28","114.88","341.99K","0.54%"
"04/24/2025","115.19","114.31","115.25","114.25","333.37K","0.90%"
"04/23/2025","114.16","114.06","115.97","113.91","685.33K","0.50%"
"04/22/2025","113.59","113.09","113.91","112.72","385.99K","0.50%"
"04/21/2025","113.03","114.31","114.41","112.84","426.54K","-1.34%"
"04/17/2025","114.56","115.34","115.44","114.25","308.98K","-0.62%"
"04/16/2025","115.28","114.75","115.47","114.38","436.89K","0.38%"
"04/15/2025","114.84","114.31","115.03","113.75","397.32K","0.30%"
"04/14/2025","114.50","113.34","114.56","112.50","442.55K","1.16%"
"04/11/2025","113.19","113.69","114.13","111.66","817.78K","-0.60%"
"04/10/2025","113.88","115.22","116.34","113.50","839.45K","-0.57%"
"04/09/2025","114.53","115.00","115.72","111.53","1.46M","-1.05%"
"04/08/2025","115.75","117.19","118.00","114.97","1.04M","-1.59%"
"04/07/2025","117.63","121.22","122.16","116.75","1.47M","-2.46%"
"04/04/2025","120.59","119.63","121.84","119.44","1.19M","0.99%"
"04/03/2025","119.41","119.16","120.16","119.09","843.27K","1.19%"
"04/02/2025","118.00","118.38","119.28","117.59","605.17K","-0.50%"
"04/01/2025","118.59","117.84","118.91","117.66","555.05K","1.12%"
"03/31/2025","117.28","117.28","118.06","117.09","660.01K","0.16%"
"03/28/2025","117.09","115.69","117.19","115.66","475.79K","1.24%"
"03/27/2025","115.66","116.00","116.25","115.25","409.29K","-0.43%"
"03/26/2025","116.16","116.50","116.50","115.81","396.96K","-0.38%"
"03/25/2025","116.59","116.34","116.78","115.84","353.75K","0.16%"
"03/24/2025","116.41","117.38","117.44","116.28","333.02K","-0.83%"
"03/21/2025","117.38","117.69","118.19","117.34","412.74K","-0.29%"
"03/20/2025","117.72","117.69","118.72","117.59","431.23K","0.19%"
"03/19/2025","117.50","117.13","117.72","116.69","371.48K","0.21%"
"03/18/2025","117.25","117.00","117.44","116.31","409.92K","0.24%"
"03/17/2025","116.97","116.69","117.63","116.59","439.16K","0.19%"
"03/14/2025","116.75","117.16","117.22","116.41","334.70K","-0.35%"
"03/13/2025","117.16","116.59","117.38","116.00","519.59K","0.54%"
"03/12/2025","116.53","117.03","117.44","116.38","533.89K","-0.35%"
"03/11/2025","116.94","117.91","118.66","116.78","591.27K","-0.82%"
"03/10/2025","117.91","116.94","118.22","116.91","478.49K","1.07%"
"03/07/2025","116.66","117.12","117.94","116.50","601.50K","-0.58%"
"03/06/2025","117.34","117.25","117.53","116.66","68.93K","-0.35%"
"03/05/2025","117.75","117.91","118.66","117.44","46.05K","-0.58%"
"03/04/2025","118.44","119.34","119.75","118.03","37.00K","-0.50%"
"03/03/2025","119.03","118.31","119.38","117.88","58.14K","0.61%"
"02/28/2025","118.31","117.97","118.81","117.78","61.33K","0.50%"
"02/27/2025","117.72","118.22","118.31","117.44","146.48K","-0.48%"
"02/26/2025","118.28","117.63","118.31","117.16","598.10K","0.53%"
"02/25/2025","117.66","116.22","117.84","116.19","1.51M","1.13%"
"02/24/2025","116.34","115.94","116.50","115.56","1.19M","0.22%"
"02/21/2025","116.09","114.88","116.31","114.84","967.45K","0.92%"
"02/20/2025","115.03","114.63","115.16","114.56","550.38K","0.35%"
"02/19/2025","114.63","114.50","114.78","114.13","538.58K","-0.03%"
"02/18/2025","114.66","115.47","115.59","114.41","490.50K","-0.76%"
"02/14/2025","115.53","114.84","115.94","114.59","391.50K","0.46%"
"02/13/2025","115.00","113.50","115.09","113.47","613.98K","1.41%"
"02/12/2025","113.41","114.81","115.19","113.13","603.62K","-1.20%"
