Symbol,PN,Type,Date,Volatility
US,N/A,QMLE-Trade,2011-9-1,0.1468
US,N/A,QMLE-Trade,2011-9-2,0.221801
US,N/A,QMLE-Trade,2011-9-6,0.169704
US,N/A,QMLE-Trade,2011-9-7,0.149856
US,N/A,QMLE-Trade,2011-9-8,0.134851
US,N/A,QMLE-Trade,2011-9-9,0.152735
US,N/A,QMLE-Trade,2011-9-12,0.131727
US,N/A,QMLE-Trade,2011-9-13,0.119388
US,N/A,QMLE-Trade,2011-9-14,0.154127
US,N/A,QMLE-Trade,2011-9-15,0.149953
US,N/A,QMLE-Trade,2011-9-16,0.115277
US,N/A,QMLE-Trade,2011-9-19,0.109404
US,N/A,QMLE-Trade,2011-9-20,0.113328
US,N/A,QMLE-Trade,2011-9-21,0.172687
US,N/A,QMLE-Trade,2011-9-22,0.157326
US,N/A,QMLE-Trade,2011-9-23,0.157653
US,N/A,QMLE-Trade,2011-9-26,0.143501
US,N/A,QMLE-Trade,2011-9-27,0.124602
US,N/A,QMLE-Trade,2011-9-28,0.139964
US,N/A,QMLE-Trade,2011-9-29,0.146662
US,N/A,QMLE-Trade,2011-9-30,0.132005
US,N/A,QMLE-Trade,2011-10-3,0.136202
US,N/A,QMLE-Trade,2011-10-4,0.172207
US,N/A,QMLE-Trade,2011-10-7,0.16586
US,N/A,QMLE-Trade,2011-10-10,0.109967
US,N/A,QMLE-Trade,2011-10-11,0.129782
US,N/A,QMLE-Trade,2011-10-12,0.125309
US,N/A,QMLE-Trade,2011-10-13,0.160361
US,N/A,QMLE-Trade,2011-10-14,0.143427
US,N/A,QMLE-Trade,2011-10-17,0.125321
US,N/A,QMLE-Trade,2011-10-18,0.176125
US,N/A,QMLE-Trade,2011-10-19,0.147421
US,N/A,QMLE-Trade,2011-10-20,0.175983
US,N/A,QMLE-Trade,2011-10-21,0.121386
US,N/A,QMLE-Trade,2011-10-24,0.120757
US,N/A,QMLE-Trade,2011-10-25,0.153228
US,N/A,QMLE-Trade,2011-10-26,0.144646
US,N/A,QMLE-Trade,2011-10-27,0.169269
US,N/A,QMLE-Trade,2011-10-28,0.137633
US,N/A,QMLE-Trade,2011-10-31,0.113496
US,N/A,QMLE-Trade,2011-11-1,0.204371
US,N/A,QMLE-Trade,2011-11-2,0.171258
US,N/A,QMLE-Trade,2011-11-3,0.174499
US,N/A,QMLE-Trade,2011-11-4,0.163497
US,N/A,QMLE-Trade,2011-11-7,0.15387
US,N/A,QMLE-Trade,2011-11-8,0.131661
US,N/A,QMLE-Trade,2011-11-9,0.167755
US,N/A,QMLE-Trade,2011-11-10,0.169715
US,N/A,QMLE-Trade,2011-11-11,0.0899377
US,N/A,QMLE-Trade,2011-11-14,0.13354
US,N/A,QMLE-Trade,2011-11-15,0.137246
US,N/A,QMLE-Trade,2011-11-16,0.12797
